,Episode Name,Japanese Airdate,English Airdate,Char List,Opening,Ending,Arc,Rating
0,"""Enter: Naruto Uzumaki!""",3 October 2002,10 September 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Third Hokage: Sarutobi', 'Iruka', 'Shikamaru Nara', 'Ino Yamanaka', 'Hinata Hyūga', 'Mizuki', 'Bekkō', 'Iwana', 'Yajirobee', 'Ibara', 'Tsubaki', ""Tobio's father"", ""Tobio's mother"", 'Iruka (boyhood)']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
1,"""My Name is Konohamaru!""",10 October 2002,10 September 2005,"['Naruto Uzumaki', 'Konohamaru', 'Third Hokage: Sarutobi', 'Iruka', 'Ebisu', 'Genzō', 'Woman', 'Gal Naruto']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.0
2,"""Sasuke and Sakura: Friends or Foes?""",17 October 2002,17 September 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Shikamaru Nara', 'Ino Yamanaka', 'Hinata Hyūga', 'Chōji Akimichi', 'Kiba Inuzuka', 'Third Hokage: Sarutobi', 'Konohamaru', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Tobio', ""Sakura's mother"", 'Girl']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.1
3,"""Pass or Fail: Survival Test""",24 October 2002,24 September 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Third Hokage: Sarutobi']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
4,"""You Failed! Kakashi's Final Decision""",31 October 2002,1 October 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Third Hokage: Sarutobi']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
5,"""A Dangerous Mission! Journey to the Land of Waves!""",7 November 2002,8 October 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Third Hokage: Sarutobi', 'Tazuna', 'Zabuza Momochi', 'Gatō', 'Meizu', 'Shijimi']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.2
6,"""The Assassin of the Mist!""",14 November 2002,15 October 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Zabuza Momochi', 'Tazuna', 'Kaji']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.2
7,"""The Oath of Pain""",21 November 2002,22 October 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Zabuza Momochi', 'Tazuna']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.4
8,"""Kakashi: Sharingan Warrior!""",28 November 2002,29 October 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
9,"""The Forest of Chakra""",5 December 2002,5 November 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Zabuza Momochi', 'Haku', 'Gatō', 'Waraji', 'Zōri']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.0
10,"""The Land Where a Hero Once Lived""",12 December 2002,12 November 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Kaiza', 'Giichi', 'Gatō', 'Akane', 'Ageha', 'Waves townspeople']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.0
11,"""Battle on the Bridge! Zabuza Returns!""",19 December 2002,19 November 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Zabuza Momochi', 'Haku', 'Gatō', 'Kaiza']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.2
12,"""Haku's Secret Jutsu: Demonic Mirroring Ice Crystals""",26 December 2002,26 November 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Zabuza Momochi', 'Haku', 'Waraji', 'Zōri']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
13,"""The Number One Hyperactive, Knucklehead Ninja Joins the Fight!""",9 January 2003,3 December 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku', 'Narration']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,3.8
14,"""Zero Visibility: The Sharingan Shatters""",16 January 2003,10 December 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.0
15,"""The Broken Seal""",23 January 2003,17 December 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Zabuza Momochi', 'Haku']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.4
16,"""White Past: Hidden Ambition""",30 January 2003,31 December 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku', ""Haku's mother""]","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.4
17,"""The Weapons Known as Shinobi""",6 February 2003,7 January 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Kaiza', 'Zabuza Momochi', 'Haku', 'Gatō', 'Giichi', 'Agari']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
